,Job Title,Company Name,Location,Date Posted,Total Applicants,Job Description,Job Link,Seniority level,Employment type,Job function,Industries,skills
80,Software Engineer,Proofpoint," Raleigh, NC",2 weeks ago,32 applicants,"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

Proofpoint is looking for a Software Engineer. Our engineering team is dynamic, fluid, and collaborative. We look for team-players who enjoy solving complex technical challenges and have an appetite to work with and adopt new and innovative technologies.

YOU WILL
Design and implement components of our big data processing and analytics platform using modern technologies to handle billions of data points a day.
Develop RESTful APIs in a micro-service architecture.
Bring fresh and creative ideas to large-scale system design, distributed computing, information retrieval and more.
YOU HAVE
Knowledge and experience with some of the following NodeJS, Python, Java, Golang, C/C++ and an ability to pick up new technologies quickly.
Knowledge of NoSQL and SQL database technologies such as Postgres, Cassandra, MongoDB, Couchbase, Redis, DynamoDB.
Cloud computing experience (AWS, GCP, Azure, or similar).
Experience designing and implementing distributed algorithms.
A bachelor’s degree in Computer Science, Computer Engineering, Mathematics, or equivalent.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

If you are a Colorado Resident

Proofpoint carefully considers a wide range of compensation factors, including your background and experience. These considerations can cause your compensation to vary.

The hiring range for this position is typically

103,670.00 - 148,100.00 USD

Actual offer will be based on the individual candidate. Bonus, commission, and/or equity may be eligible for this position.

Additional benefits for this position can be found at https //pfptbenefits.com.

This statement is being provided in accordance with the Colorado Pay and Benefit Disclosure requirements of sb19-968.",https://www.linkedin.com/jobs/view/externalApply/3180556730?url=https%3A%2F%2Fproofpoint%2Ewd5%2Emyworkdayjobs%2Ecom%2FProofpointCareers%2Fjob%2FBoston-Massachusetts%2FSoftware-Engineer_R8206%3Fsource%3DLinkedIn&urlHash=beAu&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=VW11c2Kqqb4ydjDIKc7C5w%3D%3D&trk=public_jobs_apply-link-offsite,Not Applicable,Full-time,Engineering and Information Technology,Software Development and Computer and Network Security,"['java', 'python', 'sql']"
81,Remote Software Engineer - (Python/Django) - Up to $145k,Michael Page,"Raleigh, NC",2 months ago,Be among the first 25 applicants,"Opportunity to work with nonprofits, unions, and political campaigns|100% Remote


About Our Client

Our client utilizes their platform to connect progressive organizations and their supporters. They have helped thousands of nonprofits, unions, and political campaigns. Some organizations include Black Lives Matter, LGBTQIA+, Democratic campaigns, Climate Change, and Gun Violence.

Job Description

Develop software and architecture for products that help political campaigns, nonprofits, and other progressive organizations
Prepare the platform to go from hundreds of users to hundreds of thousands of users in a short time frame
Build out their internal platform and APIs
Design and build products while working closely with product managers and designers

MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

The Successful Applicant

Technology Stack Includes: Python, Django, React, PostgreSQL, AWS (Aurora, ECS, IAM), Algolia, Celery, Github, Docker, CircleCI, Twilio, Datadog, Cloudflare, etc. (not all are required)
Have a passion for empowering ordinary people for progressive causes
4+ years of professional work experience
4+ years of experience with Python/Django
DevOps experience
Strong technical skills and ability to write high quality code in a reasonable time frame
Strong in programming fundamentals and excited to learn new technologies!
What's on Offer
Generous PTO policy
Equity
Up to 15 paid company holidays (including commemorating social justice events and self-care)
Paid volunteer time
Resources for savings and investments
Paid parental leave
Health, vision, dental
Life insurance
Wellness programs
Contact: Julie Connell

Quote job ref: JN-072022-5686729",https://www.linkedin.com/jobs/view/externalApply/3225997451?url=https%3A%2F%2Fmichaelpage%2Ecom%2Fjob-apply%2Fremote-software-engineer-pythondjango-145k%2Fref%2Fjn-072022-5686729%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator%26utm_campaign%3Dlimitedlisting&urlHash=-3G6&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=%2FC%2B3WMxfnfvkqMdmOxleSA%3D%3D&trk=public_jobs_apply-link-offsite,Entry level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Telecommunications, and Biotechnology Research","['django', 'react', 'python']"
82,Software Engineering Intern,HashiCorp," Raleigh, NC",1 week ago,59 applicants,"About The Role

This role is for a Software Engineering Intern on one of the Vault, Terraform, or Cloud teams at HashiCorp. Each of these teams works on both open source and enterprise versions of each tool, programming primarily in Go with a focus on stability, reliability, performance, and security. Our infrastructure tools are used in critical environments and operated by a range of organizations and individuals to solve infrastructure management problems.

This role provides an opportunity to help design, prototype, and implement core features while ensuring the stability of the product across a range of use-cases. Our team's work can be viewed on GitHub in the products (for Vault, Terraform, or Consul) or in libraries our teams depend on, like raft, memberlist, and go-plugin.

In this role, you can expect to learn how to...

Contribute to the HashiCorp community by providing code review, and support to HashiCorp employees, community members, and partners
Advocate and support improvements to product APIs and core to improve development and integration of tools and plugins
Build and architect systems for managing extremely large-scale global fleets of resources
Work on issues and improvements critical to the success of HashiCorp customers and the broader community
Own the full lifecycle of feature development from design through testing and release
Program in Golang, learning from and contributing to a team committed to continually improving their skills

You may be a good fit for our team if you...

Are currently pursuing a bachelor's degree in Engineering, Computer Science or equivalent training in the United States
Have a graduation date between December 2023 and May 2024
Have academic or experience working in a professional environment
Have some proficiency in Go, Python, Java, or C++ or similar programming language
Have fundamental knowledge in security, distributed systems, service oriented architectures or schedulers
Have excellent analytical and problem-solving skills
Have the ability to work in a fast paced, team-based environment
Are a creative problem-solver who also understands real-world products
Have the constant desire to grow, learn, and explore new things
Emulate the HashiCorp principles

If you are on the fence about whether you meet our requirements, please apply anyway! If you are interested in working on a specific tool or product, please note it in your cover letter.",https://www.linkedin.com/jobs/view/externalApply/3291278912?url=https%3A%2F%2Fwww%2Ehashicorp%2Ecom%2Fjob%2F4583591%3Fgh_src%3Da8bc2ad21&urlHash=zO3w&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=q0HzW%2BBto3l6VBedJ8kyKA%3D%3D&trk=public_jobs_apply-link-offsite,Internship,Internship,Engineering and Information Technology,Software Development,"['java', 'c++', 'python']"
83,Associate - Software Development & Engineering,Charles Schwab,"Raleigh, NC",3 weeks ago,Be among the first 25 applicants,"Your Opportunity

The PC Core Technology (PCCT) Team represents a centralized domain responsible for managing holdings, investment performance, and automated re-balancing across the universe of investment portfolios within Schwab. The PCCT Development team is looking for a Quality Assurance Engineer III who will excel in a dynamic fast-paced environment. The right candidate will have experience with QA standard methodologies and demonstrable experience performing all QA-related functions; including, but not limited to: vetting requirements; creating test plans, test data and test cases; performing test cases; creating automation scripts; and reviewing regression results in order to quickly determine if our products are ready for market. QA team members work very closely with developers on an integrated team dedicated to delivering high-quality solutions. The right candidate will enjoy being part of a highly interactive, Agile team. PCCT offers a wide range of technology opportunities for the most promising people to grow and demonstrate their skills as they develop high-performance financial applications.

What you are good at

The Quality Assurance Engineer will work closely with the development team and business analysts create and complete manual and automated software testing activities while delivering on multiple projects implementing new features and enhancements, and bug fixes on a large and complex portfolio management system. The right candidate will have expertise with QA standard methodologies and have demonstrable experience performing all QA-related functions such as vetting requirements, creating Test Plans and test cases, carrying out test cases, creating automation scripts, and reviewing regression results in order to quickly determine if our products are ready for market. QA team members work very closely with developers on an integrated team dedicated to delivering high quality solutions, and the right candidate will enjoy being part of a highly interactive, agile team.

Essential Duties
Participate in all aspects of testing: unit, integration, functional, regression, load/performance, automation and system testing.
Work with the team to define scope and objectives of all levels of QA testing. This includes establishing the purpose and deliverables of the test effort, developing and implementing test plans/cases, developing and helping maintain automated testing scripts for complex environments.
Contribute to the definition, development and implementation of quality assurance practices and procedures and other QA assessments.
Establish fact based measurements of test efficiency, effectiveness and product readiness; examples include: defect densities, defect counts, code coverage and automation counts
Manage and fix defects to resolution while proactively identifying risks to management Work closely with development to identify testability of the architectural design and application code while infusing Quality into the teams deliverables
Responsible for estimating, coordinating and directing testing for multiple products/projects
Strong collaboration skills. Works collaboratively with development during all stages of projects to provide in process testing results. Works directly with appropriate business partners and development to understand project concepts, objectives and approach of software development projects.
Strong communications, teamwork, and problem-solving skills are necessary. Ability to interact and communicate well with business partners and technology teams is required.
Develop automated testing scripts for complex environments
Manage defects and proactively identify risks to management
Able to work independently and in team environments.
Strong debugging and troubleshooting skills to provide detailed root cause analysis.
What you have
Bachelor’s degree in Computer Science, Engineering, Information Technology, Information Systems, Mathematics, or a closely related field.
2+ years’ experience in Quality Assurance for highly complex projects related to cloud, distributed systems, REST Services, Web Services / Microservices, and/or data processes.
2+ years of experience with a subset of the following:
Writing test automation with C#/.NET, Java, or Javascript.
Web service automation using tools like RestAssured, RestSharp, SoapUI, or Parasoft SOAtest.
Experience with databases such as Oracle, SQL, MongoDB.
Proven experience with black box and white box testing techniques and tools.
Strong written and verbal communications, teamwork, and problem-solving skills.
Ability to interact and communicate successfully with business partners and technology teams.
Experience with Agile Development Practices, Scrum and supporting apps.
Self-starter who can grasp difficult concepts and large architectures quickly and stay on top of new and emerging technologies.
Ability to think outside the box and come up with creative solutions when tools don’t work.
Experience working with resources in different geographical locations and offshore vendors.
Knowledge of the software development lifecycle and processes such as SCRUM and Agile.
What You’ll Get
Financial Fitness: 401k Match, Employee Discounts, Personalized advice, Brokerage discounts
Work/Life Balance: Sabbatical, New Mothers returning to work Program, Tuition Reimbursement Programs, Time off to volunteer
Inclusion: Employee Resource Groups, Commitment to diversity, Strategic partnerships
Not just a job, but a career, with an opportunity to do the best work of your life
What You’ll Get
Everyday Wellness: Healthy Rewards, Onsite Fitness Classes, Healthy Choices, Wellness Champions
Financial Fitness: 401k Match, Employee Discounts, Personalized advice, Brokerage discounts
Work/Life Balance: Sabbatical, New Mothers returning to work Program, Tuition Reimbursement Programs, Time off to volunteer
Inclusion: Employee Resource Groups, Commitment to diversity, Strategic partnerships
Not just a job, but a career, with an opportunity to do the best work of your life
Own Your Tomorrow embodies everything we do! We are committed to helping our employees ignite their potential and achieve their dreams. Our employees get to play a central role in reinventing a multi-trillion-dollar industry, creating a better, more modern way to build and handle wealth.

Benefits: A competitive and flexible package designed to empower you for today and tomorrow. We offer a competitive and flexible package designed to help you make the most of your life at work and at home—today and in the future. Explore further.

Schwab is committed to building a diverse and inclusive workplace where everyone feels valued. As an Equal Opportunity Employer, our policy is to provide equal employment opportunities to all employees and applicants without regard to any status that is protected by law. Please click here to see the policy.

Schwab is an affirmative action employer, focused on advancing women, racial and ethnic minorities, veterans, and individuals with disabilities in the workplace. If you have a disability and require reasonable accommodations in the application process, contact Human Resources at applicantaccessibility@schwab.com or call 800-275-1281.

TD Ameritrade, a subsidiary of Charles Schwab, is an Equal Opportunity Employer. At TD Ameritrade we believe People Matter. We value diversity and believe that it goes beyond all protected classes, thoughts, ideas, and perspectives.

Why work for us?

Own Your Tomorrow embodies everything we do! We are committed to helping our employees ignite their potential and achieve their dreams. Our employees get to play a central role in reinventing a multi-trillion-dollar industry, creating a better, more modern way to build and manage wealth.

Benefits: A competitive and flexible package designed to empower you for today and tomorrow. We offer a competitive and flexible package designed to help you make the most of your life at work and at home—today and in the future. Explore further.

Schwab is committed to building a diverse and inclusive workplace where everyone feels valued. As an Equal Opportunity Employer, our policy is to provide equal employment opportunities to all employees and applicants without regard to any status that is protected by law. Please click here to see the policy.

Schwab is an affirmative action employer, focused on advancing women, racial and ethnic minorities, veterans, and individuals with disabilities in the workplace. If you have a disability and require reasonable accommodations in the application process, contact Human Resources at applicantaccessibility@schwab.com or call 800-275-1281.

TD Ameritrade, a subsidiary of Charles Schwab, is an Equal Opportunity Employer. At TD Ameritrade we believe People Matter. We value diversity and believe that it goes beyond all protected classes, thoughts, ideas, and perspectives.",https://www.linkedin.com/jobs/view/externalApply/3306108090?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F519335359%3B327026841%3Bl%3Fhttps%3A%2F%2Fjobs%2Eschwabjobs%2Ecom%2Fjob%2F-%2F-%2F33727%2F37528866032%3Futm_source%3Dlinkedin%2Ecom%26utm_medium%3Djob_posting%26utm_campaign%3DAnnual_Media%26utm_content%3Dsocial_media%26utm_term%3D327026841%26ss%3Dpaid&urlHash=4RFq&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=Zr0gd3bZ4wFZOki8j9nH8w%3D%3D&trk=public_jobs_apply-link-offsite,Entry level,Full-time,Engineering and Information Technology,Investment Management,"['java', 'sql']"
84,Full Stack Developer,Diveplane Corporation,"Raleigh, NC",1 week ago,38 applicants,"Description

Diveplane, headquartered in Raleigh, NC, is a technology startup dedicated to keeping humanity in Artificial Intelligence. With the proliferation of AI tools, there has never been a more critical time to support the ethical use of technology and data. We believe in responsible AI, meaning machines ought to preserve, amplify, and empower the best intentions of those that use them. Our solutions are explainable, auditable, and editable. We are a small but mighty team, aiming to fundamentally change the Artificial Intelligence landscape for the better.

We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. We want team members with a sense of humor and a passion for making great software in a fast-paced, startup environment. If you’re also familiar with Agile methodologies, we’d like to meet you.

Responsibilities
Work with development teams and product managers to ideate software solutions
Design client/server architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Perform code reviews
Write technical documentation
Work with data scientists and analysts to improve software

Requirements
Strong Python skills and experience with multiple back-end languages (e.g. C++, Java, Node.js)
Experience with SQL and NoSQL databases (e.g. MySQL, MSSQL, Postgres, MongoDB)
Good understanding of Linux, Kubernetes, Bash, Python
Familiarity with web servers (e.g. Apache, NGINX)
Experience writing REST APIs
Familiar with version control such as git, Azure DevOps is a plus
Excellent communication and teamwork skills
Great attention to detail
An analytical mind
BS Degree in Computer Science, Statistics or relevant field
Local to the Raleigh-Durham area in North Carolina

Great to Have:
Knowledge of multiple front-end languages and libraries (e.g. HTML/CSS, JavaScript, jQuery)
Experience with front-end web development, UI/UX design, and applicable frameworks (e.g. Vue.js, React)
Experience with web technologies (Flask, Django, etc.)
Experience with building features and applications with a mobile responsive design
Familiarity with data science techniques",,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,"['linux', 'c++', 'sql', 'mysql', 'python', 'django', 'java', 'ai']"
85,Gameplay AI Engineering Intern - Fortnite,Epic Games,"Cary, NC",1 week ago,92 applicants,"WHAT MAKES US EPIC?

At the core of Epic’s success are talented, passionate people. Epic prides itself on creating a collaborative, welcoming, and creative environment. Whether it’s building award-winning games or crafting engine technology that enables others to make visually stunning interactive experiences, we’re always innovating.

Being Epic means being a part of a team that continually strives to do right by our community and users. We’re constantly innovating to raise the bar of engine and game development.

Gameplay AI Engineering Intern - Fortnite

Alternative location of Montreal for those located in Canada.

Epic Games is on the lookout for smart, dynamic interns to join our dev teams. When you join Epic you'll join a team that's pushing the limits of gaming and interactive. From Unreal Engine and Fortnite, to TwinMotion and the Epic Games Store, you'll contribute to the unrelenting focus on innovation, quality and community that defines us.

Epic Games Fortnite Team is looking for creative Gameplay AI Programmer Interns to join them in 2023. Our Interns are given challenging projects over the work term, and are provided with a meaningful experience with high expectations for performance. This team is responsible for developing and maintaining AI to bring the world of Fortnite to life. If you want to build something Epic, this is the opportunity for you!

In This Role You Will
Create and iterate on AI features such as NPCs and creatures within Fortnite
Support technical excellence of Fortnite on multiple platforms
Optimize and fix bugs in existing gameplay AI systems
Contribute ideas toward the game’s AI production and development
Write robust, maintainable C++ code

What We’re Looking For
Strong C++ knowledge is a must
Portfolio showcasing projects of gameplay and AI coding utilizing C++
Familiarity with Unreal Engine and understanding of blueprints
Passionate about game development and Epic Games products, specifically Fortnite
Exceptional communication skills and experience working within a team
Able to react and respond effectively to coding feedback

This is an internship for 2023 with a flexible start date Recruitment will be ongoing until teams find an ideal match. For more information about Epic Internships, visit Epicgames.com/students.

This is going to be Epic!

About Us

Epic Games spans across 19 countries with 55 studios and 4,500+ employees globally. For over 25 years, we’ve been making award-winning games and engine technology that empowers others to make visually stunning games and 3D content that bring environments to life like never before. Epic’s award-winning Unreal Engine technology not only provides game developers the ability to build high-fidelity, interactive experiences for PC, console, mobile, and VR, it is also a tool being embraced by content creators across a variety of industries such as media and entertainment, automotive, and architectural design. As we continue to build our Engine technology and develop remarkable games, we strive to build teams of world-class talent.

Like what you hear? Come be a part of something Epic!

Epic Games deeply values diverse teams and an inclusive work culture, and we are proud to be an Equal Opportunity employer. Learn more about our Equal Employment Opportunity (EEO) Policy here.",https://www.linkedin.com/jobs/view/externalApply/3220199325?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D4625741004%26gh_src%3D32b5d0474us%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=tlFR&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=SBFsKhRDlk4HMM4D9SlOHg%3D%3D&trk=public_jobs_apply-link-offsite,Internship,Full-time,Engineering and Information Technology,"Software Development, Entertainment Providers, and Computer Games","['react', 'c++', 'ai']"
86,Intern - Software Engineer - Spring 2023,Plexus Corp.,"Raleigh, NC",1 month ago,57 applicants,"Our people create our best Plexus.

What We Do At Plexus

We’re a global team of over 19,000 engineering, manufacturing, supply chain and aftermarket service experts who partner with customers to bring their products to life through inspired innovation and world-class customer service.

We are passionate about innovating, creating and delivering products that change people’s lives. From surgical devices and health monitors to warehouse robotics and space products, we partner with our customers to help create the products that build a better world.

At Plexus, you are more than just an intern. We embrace your innovative ideas and collaborative thinking. You play a critical role in our success as we continue to grow as a global organization.

WHY WE LOVE IT

Engaging and challenging projects that fulfill and develop you. People that inspire and empower you to realize your full potential. A workplace centered on inclusion and collaboration. At Plexus, we’re at our best when opportunities are met with passion, open communication and teamwork.

Company Profile

HOW YOU WILL DO IT

We are creators. Innovators. Engineering, manufacturing, supply chain and service experts passionate about building a better world. When you join Plexus, you’ll be part of a collaborative, imaginative team of problem-solvers. You’ll partner with leading companies across the globe to bring exciting, life-changing new technologies to their customers.

Plexus is a global company where you can push the boundaries of innovation and discover your highest potential. You can deliver solutions to our customers through visionary products that protect lives, discover elusive answers, help people and cultures connect, and revolutionize how we experience the world around us. Whether you’re an experienced professional or skilled manufacturer, a recent graduate ready to make an impact or a student eager to gain hands-on internship experience — with a career at Plexus, you can make a real difference.

Overview

To perform software engineering design services and other related software development support services throughout all stages of the product development life cycle.

Responsibilities

Architect and develop software and system concepts that satisfy the customer's requirements
Maintain and deliver controlled software releases to customers by utilizing appropriate configuration management tools
Develop and execute software design verification test plans per requirements specifications to ensure prototypes meet design requirements
Demonstrate proficiency using lab equipment and debug techniques

Minimum Qualifications

Student working toward a Bachelor’s degree in Computer Engineering or Software Engineering for entire duration of internship.

Preferred Qualifications

Junior level status
GPA: 3.0 or higher is preferred

Some offers of employment are contingent upon successfully passing a drug screen and upon completion of a confidentiality agreement.

Our Values and How We Lead behaviors guide our processes. Plexus does not make employment decisions based on race, color, religion, national origin, sexual orientation, gender identity, disability, or veteran status. We are proud to be an Equal Opportunity Employer (EOE) and encourage all to apply today!

Globally, our policy is to recruit people from wide and diverse backgrounds. However, our company does not typically undertake sponsorship, including for H-1B, TN, and other nonimmigrant visas. Additionally, certain positions require access to controlled goods and technologies subject to the International Traffic in Arms Regulations (ITAR) or Export Administration Regulations (EAR). Applicants for these positions may need to be “U.S. persons.” “U.S. persons” are generally defined as U.S. citizens, nationals, lawful permanent residents (or, green card holders), individuals granted asylum, and individuals admitted as refugees.",https://www.linkedin.com/jobs/view/externalApply/3251007406?url=https%3A%2F%2Fplexus%2Ewd5%2Emyworkdayjobs%2Ecom%2FPlexus_Careers%2Fjob%2FRaleigh-NC%2FIntern---Software-Engineer---Spring-2023_R022278%3Fsource%3Dlinkedin&urlHash=oJji&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=PFDa7HC89bfVaiYV3caqqA%3D%3D&trk=public_jobs_apply-link-offsite,Not Applicable,Full-time,Engineering and Information Technology,"Appliances, Electrical, and Electronics Manufacturing, Medical Equipment Manufacturing, and Defense and Space Manufacturing",[]
87,Cloud Software Engineer - Early Careers/ New Grad,Hewlett Packard Enterprise,"Durham, NC",1 month ago,Over 200 applicants,"This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.

Job Description

Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world. We live by three core values that drive our business: Partner. Innovate. Act. These values combine to help us create important work all over the world to advance how people live and work.

Data – and what you can do with it – never stops evolving. And extracting value from it is easier said than done. What's the answer? Intelligent, built-for-cloud storage from HPE.

Simplify operations through AI
Run any workload, anywhere
Meet shifting business needs
Be ready for the multi-cloud world

As a Software Engineer within HPE Storage you will join an industry-leading organization in the delivery of Hybrid Storage solutions on premises and in the Cloud. You will have the opportunity to work with a global product team for software design, development, release management, and support during the full product lifecycle. Aligning with HPE’s technical career path, HPE offers you both vertical and horizontal growth in engineering and related product delivery roles.

How You'll Make Your Mark

Work with product managers and owners to define and drive the next generation of intelligent data storage products and solutions
Build solutions that manage the data across public and hybrid cloud environments
Optimize cost and performance of HPE Storage software offering in public/hybrid cloud environments
Design and develop solutions that protect and manage cloud native apps and data
Develop tools to simulate and test large scale customer deployments in public and hybrid cloud environments
Share and review your innovative technical ideas with peers, high level technical contributors, and managers

You Will Have

Master's degree in Computer Science, Information Systems, or equivalent.
Typically, 1-3 years’ experience
Passion for technology, with the ability to effectively articulate technical challenges and solutions
Eager, quick learner with strong teamwork spirit
Excellent verbal and written English communication skills
Experience with languages such as C, C++, Python, Go and Java
Experience in building large scale distributed systems
Experience in one or more of the following areas is a plus: data protection, recommendation systems, data mining, machine learning or artificial intelligence

Join us and make your mark!

Job

Engineering

Job Level

Intermediate

Hewlett Packard Enterprise is EEO F/M/Protected Veteran/ Individual with Disabilities.

HPE will comply with all applicable laws related to the use of arrest and conviction records, including the San Francisco Fair Chance Ordinance and similar laws and will consider for employment qualified applicants with criminal histories.",https://www.linkedin.com/jobs/view/externalApply/3237250599?url=https%3A%2F%2Fcareers%2Ehpe%2Ecom%2Fus%2Fen%2Fjob%2F1131719%2FCloud-Software-Engineer---Early-Careers--New-Grad%3Futm_source%3Dlinkedin&urlHash=Ogft&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=bIz0uCt3lMRDN0B7ijb8kw%3D%3D&trk=public_jobs_apply-link-offsite,Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"['c', 'c++', 'python', 'java', 'ai']"
88,Software Engineer Intern - Undergrad,Proofpoint," Raleigh, NC",3 days ago,73 applicants,"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

The Role

At Proofpoint we are concerned with protecting our customers from threat and data loss. Our team works to secure our customer’s most sensitive data to prevent breaches that can lead to fines, litigation and loss of reputation.

As an intern, you will be working closely with our engineering team to improve our Data Loss Prevention (DLP) features and scalability. We are currently in the process of consolidating the DLP functionality across the company into a centralized enterprise DLP solution where you will work with other teams across Proofpoint who will integrate with our centralized services to provide DLP for their products such as

The UI team to help provide cutting edge web applications that will allow our customers to configure and manage their DLP needs.
The Product team to make sure we are meeting our customer’s most urgent DLP priorities.

What You Bring To The Team

Capable of producing industry level code without much supervision
Must have a foundation in computer science principles with a good grasp of data structures, algorithms, object oriented design, functional programming and test driven development.
Must be able to learn and become proficient in new programming languages and technologies quickly and without much assistance

Candidate Profile

You have the ability and interest in working part time (maximum of 30 hours per week) in our Draper, UT office or remotely until it is safe to return. You are currently pursuing an undergraduate degree, and are successfully maintaining an above average GPA. This internship will go through end of August 2023.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",https://www.linkedin.com/jobs/view/externalApply/3266483264?url=https%3A%2F%2Fproofpoint%2Ewd5%2Emyworkdayjobs%2Ecom%2FProofpointCareers%2Fjob%2FDraper-UT%2FSoftware-Engineer-Summer-Intern---Undergrad_R8448%3Fsource%3DLinkedIn&urlHash=WGkg&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=dXJCv%2FH4ZdgRNceNbofD0A%3D%3D&trk=public_jobs_apply-link-offsite,Internship,Part-time,Engineering and Information Technology,Software Development and Computer and Network Security,['ui']
89,Software Engineer,"DataStaff, Inc.","Raleigh, NC",1 month ago,Be among the first 25 applicants,"DataStaff is seeking a full-time Software Engineer for a direct-hire opportunity for one of our clients in the Durham, NC area.

Responsibilities

Work with local development and test team to enhance FDA-approved medical-device
Enhance and develop support and diagnostic tools
Automate test and verification processes

Requirements

4+ years of experience with Microsoft .Net C#/WPF desktop application development
Visual Studio 2019, Git and Azure DevOps
Net Core on Windows
Windows 10 embedded device deployment

This position is available as a W2 position with a competitive benefits package.",https://www.linkedin.com/jobs/view/externalApply/3259792736?url=https%3A%2F%2Fdatastaffnc%2Ecom%2Fcareers%2F%3Fgnk%3Djob%26gni%3D8a78859e7da13aab017da53cc8b104df%26gns%3DLinkedIn%252BLimited&urlHash=T6XA&refId=Hdw5pdGU%2F2NtnlyUA%2FvFuQ%3D%3D&trackingId=j0cz8rMMG%2FMjELPvTDw7fQ%3D%3D&trk=public_jobs_apply-link-offsite,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,[]
90,Python Developer,Extend Information Systems Inc.,"Cary, NC",3 months ago,Be among the first 25 applicants,"Hi,

Hope You are doing good.

I have found your profile and wanted to send a quick note on your way. Please take a look at the below job description and let me know your availability for this need.

If interested, Please reply with Updated resume, Work Authorization, Rate & Contact Details.

Job Title: Python Developer

Location: Cary, NC (Onsite within n1-2 months)

Duration: Long Term Contract

Job Description

Key Responsibilities
Responsible for back-end web design and development
Understand how to work with several languages, frameworks, and databases including Python, Flask, PostgreSQL.
Collaborate with your team to design new and enhanced features.
Successfully integrate data between various systems.
Ensure the scalability and quality of all code.
Your Skills And Experiences
Flask, Sql alchemy, Jinja2
Docker
Git
AWS
SQL and NoSQL databases (e.g. PostgreSQL, MySQL, Redis)
Servers (e.g. Apache, Nginx, Haproxy)
Bash
Ability to learn quickly, take ownership, and provide direction on projects that involve various functions and levels of professionals.
Excellent interpersonal and organizational skills.
Thanks & Regards

Amit Jha

Extend Information System Inc

Phone:571-800-1707

Email: ajha@extendinfosys.com

44355 Premier Plaza UNIT 220, Ashburn, VA, USA 20147",,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"['python', 'mysql', 'flask', 'sql']"
